task,model,split,label,precision,recall,f1_score,support
sentiment,majority,validation,negative,0.0,0.0,0.0,705.0
sentiment,majority,validation,neutral,0.0,0.0,0.0,73.0
sentiment,majority,validation,positive,0.5085281111813014,1.0,0.6742043551088778,805.0
sentiment,majority,validation,accuracy,,,0.5085281111813014,
sentiment,majority,validation,macro avg,0.16950937039376712,0.3333333333333333,0.2247347850362926,1583.0
sentiment,majority,validation,weighted avg,0.25860083986162197,0.5085281111813014,0.34285186725372496,1583.0
sentiment,majority,test,negative,0.0,0.0,0.0,1409.0
sentiment,majority,test,neutral,0.0,0.0,0.0,167.0
sentiment,majority,test,positive,0.5022109917877448,1.0,0.6686291000841043,1590.0
sentiment,majority,test,accuracy,,,0.5022109917877448,
sentiment,majority,test,macro avg,0.16740366392924824,0.3333333333333333,0.22287636669470143,3166.0
sentiment,majority,test,weighted avg,0.25221588027243025,0.5022109917877448,0.33579288349138525,3166.0
sentiment,tfidf_word_svm,validation,negative,0.9138888888888889,0.9333333333333333,0.9235087719298246,705.0
sentiment,tfidf_word_svm,validation,neutral,0.5,0.3972602739726027,0.44274809160305345,73.0
sentiment,tfidf_word_svm,validation,positive,0.937888198757764,0.937888198757764,0.937888198757764,805.0
sentiment,tfidf_word_svm,validation,accuracy,,,0.9109286165508528,
sentiment,tfidf_word_svm,validation,macro avg,0.7839256958822176,0.7561606020212334,0.7680483540968807,1583.0
sentiment,tfidf_word_svm,validation,weighted avg,0.9070067382606863,0.9109286165508528,0.908650849587839,1583.0
sentiment,tfidf_word_svm,test,negative,0.8821192052980132,0.9453513129879347,0.9126413155190134,1409.0
sentiment,tfidf_word_svm,test,neutral,0.44545454545454544,0.2934131736526946,0.35379061371841153,167.0
sentiment,tfidf_word_svm,test,positive,0.9333764553686934,0.9075471698113208,0.920280612244898,1590.0
sentiment,tfidf_word_svm,test,accuracy,,,0.8919772583701832,
sentiment,tfidf_word_svm,test,macro avg,0.753650068707084,0.7154372188173167,0.7289041804941077,3166.0
sentiment,tfidf_word_svm,test,weighted avg,0.8848279953859861,0.8919772583701832,0.8869996271404461,3166.0
sentiment,tfidf_char_svm,validation,negative,0.9177304964539007,0.9177304964539007,0.9177304964539007,705.0
sentiment,tfidf_char_svm,validation,neutral,0.4,0.5205479452054794,0.4523809523809524,73.0
sentiment,tfidf_char_svm,validation,positive,0.9438058748403576,0.9180124223602485,0.9307304785894207,805.0
sentiment,tfidf_char_svm,validation,accuracy,,,0.899557801642451,
sentiment,tfidf_char_svm,validation,macro avg,0.7538454570980861,0.7854302880065429,0.7669473091414246,1583.0
sentiment,tfidf_char_svm,validation,weighted avg,0.9071154322466759,0.899557801642451,0.9028817718182522,1583.0
sentiment,tfidf_char_svm,test,negative,0.8802477632484514,0.907735982966643,0.893780573025856,1409.0
sentiment,tfidf_char_svm,test,neutral,0.3956043956043956,0.4311377245508982,0.41260744985673353,167.0
sentiment,tfidf_char_svm,test,positive,0.9274983670803396,0.8930817610062893,0.9099647548862544,1590.0
sentiment,tfidf_char_svm,test,accuracy,,,0.8752368919772584,
sentiment,tfidf_char_svm,test,macro avg,0.7344501753110623,0.7439851561746101,0.7387842592562812,3166.0
sentiment,tfidf_char_svm,test,weighted avg,0.8784135932219653,0.8752368919772584,0.8765275526811909,3166.0
topic,majority,validation,lecturer,0.7271004421983576,1.0,0.8419897585954645,1151.0
topic,majority,validation,training_program,0.0,0.0,0.0,267.0
topic,majority,validation,facility,0.0,0.0,0.0,70.0
topic,majority,validation,others,0.0,0.0,0.0,95.0
topic,majority,validation,accuracy,,,0.7271004421983576,
topic,majority,validation,macro avg,0.1817751105495894,0.25,0.21049743964886614,1583.0
topic,majority,validation,weighted avg,0.5286750530450471,0.7271004421983576,0.6122111258012506,1583.0
topic,majority,test,lecturer,0.7233101705622236,1.0,0.8394428152492669,2290.0
topic,majority,test,training_program,0.0,0.0,0.0,572.0
topic,majority,test,facility,0.0,0.0,0.0,145.0
topic,majority,test,others,0.0,0.0,0.0,159.0
topic,majority,test,accuracy,,,0.7233101705622236,
topic,majority,test,macro avg,0.1808275426405559,0.25,0.20986070381231672,3166.0
topic,majority,test,weighted avg,0.523177602838753,0.7233101705622236,0.6071775258751805,3166.0
topic,tfidf_word_svm,validation,lecturer,0.9405405405405406,0.9070373588184187,0.9234851835471031,1151.0
topic,tfidf_word_svm,validation,training_program,0.6865203761755486,0.8202247191011236,0.7474402730375427,267.0
topic,tfidf_word_svm,validation,facility,0.8904109589041096,0.9285714285714286,0.9090909090909091,70.0
topic,tfidf_word_svm,validation,others,0.5061728395061729,0.43157894736842106,0.4659090909090909,95.0
topic,tfidf_word_svm,validation,accuracy,,,0.86481364497789,
topic,tfidf_word_svm,validation,macro avg,0.755911178781593,0.7718531134648481,0.7614813641461614,1583.0
topic,tfidf_word_svm,validation,weighted avg,0.8694114273388551,0.86481364497789,0.8656953420318806,1583.0
topic,tfidf_word_svm,test,lecturer,0.934322986954566,0.9069868995633188,0.9204520274761799,2290.0
topic,tfidf_word_svm,test,training_program,0.6722817764165391,0.7674825174825175,0.7167346938775511,572.0
topic,tfidf_word_svm,test,facility,0.9054054054054054,0.9241379310344827,0.9146757679180887,145.0
topic,tfidf_word_svm,test,others,0.4788732394366197,0.4276729559748428,0.45182724252491696,159.0
topic,tfidf_word_svm,test,accuracy,,,0.8584965255843335,
topic,tfidf_word_svm,test,macro avg,0.7477208520532824,0.7565700760137904,0.7509224329491841,3166.0
topic,tfidf_word_svm,test,weighted avg,0.862782515821359,0.8584965255843335,0.8598470959343006,3166.0
topic,tfidf_char_svm,validation,lecturer,0.9373831775700935,0.8714161598609904,0.9031967582170194,1151.0
topic,tfidf_char_svm,validation,training_program,0.6382978723404256,0.7865168539325843,0.7046979865771812,267.0
topic,tfidf_char_svm,validation,facility,0.8289473684210527,0.9,0.863013698630137,70.0
topic,tfidf_char_svm,validation,others,0.4166666666666667,0.47368421052631576,0.4433497536945813,95.0
topic,tfidf_char_svm,validation,accuracy,,,0.8344914718888187,
topic,tfidf_char_svm,validation,macro avg,0.7053237712495596,0.7579043060799726,0.7285645492797297,1583.0
topic,tfidf_char_svm,validation,weighted avg,0.850892746949386,0.8344914718888187,0.8403430300878026,1583.0
topic,tfidf_char_svm,test,lecturer,0.9365079365079365,0.8759825327510917,0.9052346570397112,2290.0
topic,tfidf_char_svm,test,training_program,0.6344086021505376,0.722027972027972,0.6753883892068684,572.0
topic,tfidf_char_svm,test,facility,0.8580645161290322,0.9172413793103448,0.8866666666666667,145.0
topic,tfidf_char_svm,test,others,0.39908256880733944,0.5471698113207547,0.46153846153846156,159.0
topic,tfidf_char_svm,test,accuracy,,,0.8335439039797852,
topic,tfidf_char_svm,test,macro avg,0.7070159058987114,0.7656054238525408,0.732207043612927,3166.0
topic,tfidf_char_svm,test,weighted avg,0.8513450342111052,0.8335439039797852,0.8405751122231676,3166.0
