task,model,variant,label,precision,recall,f1_score,support,model_family,is_summary_label,variant_order,model_order
sentiment,majority,clean,negative,0.0,0.0,0.0,1409.0,baseline,False,0,0
sentiment,majority,clean,neutral,0.0,0.0,0.0,167.0,baseline,False,0,0
sentiment,majority,clean,positive,0.5022109917877448,1.0,0.6686291000841043,1590.0,baseline,False,0,0
sentiment,majority,clean,accuracy,,,0.5022109917877448,,baseline,True,0,0
sentiment,majority,clean,macro avg,0.1674036639292482,0.3333333333333333,0.2228763666947014,3166.0,baseline,True,0,0
sentiment,majority,clean,weighted avg,0.2522158802724302,0.5022109917877448,0.3357928834913852,3166.0,baseline,True,0,0
sentiment,tfidf_word_svm,clean,negative,0.8821192052980132,0.9453513129879348,0.9126413155190134,1409.0,baseline,False,0,1
sentiment,tfidf_word_svm,clean,neutral,0.4454545454545454,0.2934131736526946,0.3537906137184115,167.0,baseline,False,0,1
sentiment,tfidf_word_svm,clean,positive,0.9333764553686934,0.9075471698113208,0.920280612244898,1590.0,baseline,False,0,1
sentiment,tfidf_word_svm,clean,accuracy,,,0.8919772583701832,,baseline,True,0,1
sentiment,tfidf_word_svm,clean,macro avg,0.753650068707084,0.7154372188173167,0.7289041804941077,3166.0,baseline,True,0,1
sentiment,tfidf_word_svm,clean,weighted avg,0.8848279953859861,0.8919772583701832,0.8869996271404461,3166.0,baseline,True,0,1
sentiment,tfidf_char_svm,clean,negative,0.8802477632484514,0.907735982966643,0.893780573025856,1409.0,baseline,False,0,2
sentiment,tfidf_char_svm,clean,neutral,0.3956043956043956,0.4311377245508982,0.4126074498567335,167.0,baseline,False,0,2
sentiment,tfidf_char_svm,clean,positive,0.9274983670803396,0.8930817610062893,0.9099647548862544,1590.0,baseline,False,0,2
sentiment,tfidf_char_svm,clean,accuracy,,,0.8752368919772584,,baseline,True,0,2
sentiment,tfidf_char_svm,clean,macro avg,0.7344501753110623,0.7439851561746101,0.7387842592562812,3166.0,baseline,True,0,2
sentiment,tfidf_char_svm,clean,weighted avg,0.8784135932219653,0.8752368919772584,0.8765275526811909,3166.0,baseline,True,0,2
sentiment,phobert,clean,negative,0.9433566433566434,0.957416607523066,0.9503346248679112,1409.0,phobert,False,0,3
sentiment,phobert,clean,neutral,0.6258992805755396,0.5209580838323353,0.5686274509803921,167.0,phobert,False,0,3
sentiment,phobert,clean,positive,0.947401377582968,0.9515723270440252,0.9494822717288988,1590.0,phobert,False,0,3
sentiment,phobert,clean,accuracy,,,0.9314592545799116,,phobert,True,0,3
sentiment,phobert,clean,macro avg,0.838885767171717,0.8099823394664756,0.822814782525734,3166.0,phobert,True,0,3
sentiment,phobert,clean,weighted avg,0.9286427292174808,0.9314592545799116,0.9297722939992298,3166.0,phobert,True,0,3
sentiment,majority,typo_light,negative,0.0,0.0,0.0,1409.0,baseline,False,1,0
sentiment,majority,typo_light,neutral,0.0,0.0,0.0,167.0,baseline,False,1,0
sentiment,majority,typo_light,positive,0.5022109917877448,1.0,0.6686291000841043,1590.0,baseline,False,1,0
sentiment,majority,typo_light,accuracy,,,0.5022109917877448,,baseline,True,1,0
sentiment,majority,typo_light,macro avg,0.1674036639292482,0.3333333333333333,0.2228763666947014,3166.0,baseline,True,1,0
sentiment,majority,typo_light,weighted avg,0.2522158802724302,0.5022109917877448,0.3357928834913852,3166.0,baseline,True,1,0
sentiment,tfidf_word_svm,typo_light,negative,0.8793103448275862,0.9410929737402411,0.9091532396297566,1409.0,baseline,False,1,1
sentiment,tfidf_word_svm,typo_light,neutral,0.4392523364485981,0.281437125748503,0.3430656934306569,167.0,baseline,False,1,1
sentiment,tfidf_word_svm,typo_light,positive,0.927143778207608,0.9044025157232704,0.915631964342566,1590.0,baseline,False,1,1
sentiment,tfidf_word_svm,typo_light,accuracy,,,0.8878711307643714,,baseline,True,1,1
sentiment,tfidf_word_svm,typo_light,macro avg,0.7485688198279309,0.7089775384040049,0.7226169658009932,3166.0,baseline,True,1,1
sentiment,tfidf_word_svm,typo_light,weighted avg,0.8801206643711564,0.8878711307643714,0.8825469705451444,3166.0,baseline,True,1,1
sentiment,tfidf_char_svm,typo_light,negative,0.8811333794056669,0.9048970901348474,0.8928571428571429,1409.0,baseline,False,1,2
sentiment,tfidf_char_svm,typo_light,neutral,0.372972972972973,0.4131736526946107,0.3920454545454545,167.0,baseline,False,1,2
sentiment,tfidf_char_svm,typo_light,positive,0.926336375488918,0.8937106918238994,0.909731113956466,1590.0,baseline,False,1,2
sentiment,tfidf_char_svm,typo_light,accuracy,,,0.8733417561591914,,baseline,True,1,2
sentiment,tfidf_char_svm,typo_light,macro avg,0.7268142426225194,0.7372604782177858,0.7315445704530212,3166.0,baseline,True,1,2
sentiment,tfidf_char_svm,typo_light,weighted avg,0.8770304027468259,0.8733417561591914,0.8749146482582396,3166.0,baseline,True,1,2
sentiment,phobert,typo_light,negative,0.941299790356394,0.9559971611071684,0.9485915492957746,1409.0,phobert,False,1,3
sentiment,phobert,typo_light,neutral,0.6277372262773723,0.5149700598802395,0.5657894736842105,167.0,phobert,False,1,3
sentiment,phobert,typo_light,positive,0.9443053817271588,0.9490566037735848,0.9466750313676286,1590.0,phobert,False,1,3
sentiment,phobert,typo_light,accuracy,,,0.9292482627921668,,phobert,True,1,3
sentiment,phobert,typo_light,macro avg,0.8377807994536418,0.8066746082536643,0.8203520181158712,3166.0,phobert,True,1,3
sentiment,phobert,typo_light,weighted avg,0.9262694498883964,0.9292482627921668,0.9274370293548766,3166.0,phobert,True,1,3
sentiment,majority,typo_medium,negative,0.0,0.0,0.0,1409.0,baseline,False,2,0
sentiment,majority,typo_medium,neutral,0.0,0.0,0.0,167.0,baseline,False,2,0
sentiment,majority,typo_medium,positive,0.5022109917877448,1.0,0.6686291000841043,1590.0,baseline,False,2,0
sentiment,majority,typo_medium,accuracy,,,0.5022109917877448,,baseline,True,2,0
sentiment,majority,typo_medium,macro avg,0.1674036639292482,0.3333333333333333,0.2228763666947014,3166.0,baseline,True,2,0
sentiment,majority,typo_medium,weighted avg,0.2522158802724302,0.5022109917877448,0.3357928834913852,3166.0,baseline,True,2,0
sentiment,tfidf_word_svm,typo_medium,negative,0.874251497005988,0.9325762952448544,0.9024725274725276,1409.0,baseline,False,2,1
sentiment,tfidf_word_svm,typo_medium,neutral,0.4035087719298245,0.2754491017964072,0.3274021352313167,167.0,baseline,False,2,1
sentiment,tfidf_word_svm,typo_medium,positive,0.9244673983214976,0.9006289308176101,0.9123924816820644,1590.0,baseline,False,2,1
sentiment,tfidf_word_svm,typo_medium,accuracy,,,0.8818698673404928,,baseline,True,2,1
sentiment,tfidf_word_svm,typo_medium,macro avg,0.7340758890857702,0.7028847759529574,0.7140890481286362,3166.0,baseline,True,2,1
sentiment,tfidf_word_svm,typo_medium,weighted avg,0.8746397623262474,0.8818698673404928,0.8771206549800705,3166.0,baseline,True,2,1
sentiment,tfidf_char_svm,typo_medium,negative,0.876551724137931,0.9020581973030518,0.8891220706540749,1409.0,baseline,False,2,2
sentiment,tfidf_char_svm,typo_medium,neutral,0.3717277486910995,0.4251497005988024,0.3966480446927374,167.0,baseline,False,2,2
sentiment,tfidf_char_svm,typo_medium,positive,0.9272131147540984,0.889308176100629,0.907865168539326,1590.0,baseline,False,2,2
sentiment,tfidf_char_svm,typo_medium,accuracy,,,0.8704990524320909,,baseline,True,2,2
sentiment,tfidf_char_svm,typo_medium,macro avg,0.725164195861043,0.738838691334161,0.7312117612953793,3166.0,baseline,True,2,2
sentiment,tfidf_char_svm,typo_medium,weighted avg,0.8753660030956332,0.8704990524320909,0.8725580666433377,3166.0,baseline,True,2,2
sentiment,phobert,typo_medium,negative,0.9403927068723704,0.9517388218594748,0.946031746031746,1409.0,phobert,False,2,3
sentiment,phobert,typo_medium,neutral,0.6068965517241379,0.5269461077844312,0.5641025641025641,167.0,phobert,False,2,3
sentiment,phobert,typo_medium,positive,0.9448275862068966,0.9477987421383648,0.9463108320251178,1590.0,phobert,False,2,3
sentiment,phobert,typo_medium,accuracy,,,0.9273531269740998,,phobert,True,2,3
sentiment,phobert,typo_medium,macro avg,0.8307056149344683,0.8088278905940903,0.8188150473864759,3166.0,phobert,True,2,3
sentiment,phobert,typo_medium,weighted avg,0.925028714526237,0.9273531269740998,0.9260259258634856,3166.0,phobert,True,2,3
sentiment,majority,teencode_light,negative,0.0,0.0,0.0,1409.0,baseline,False,3,0
sentiment,majority,teencode_light,neutral,0.0,0.0,0.0,167.0,baseline,False,3,0
sentiment,majority,teencode_light,positive,0.5022109917877448,1.0,0.6686291000841043,1590.0,baseline,False,3,0
sentiment,majority,teencode_light,accuracy,,,0.5022109917877448,,baseline,True,3,0
sentiment,majority,teencode_light,macro avg,0.1674036639292482,0.3333333333333333,0.2228763666947014,3166.0,baseline,True,3,0
sentiment,majority,teencode_light,weighted avg,0.2522158802724302,0.5022109917877448,0.3357928834913852,3166.0,baseline,True,3,0
sentiment,tfidf_word_svm,teencode_light,negative,0.8820754716981132,0.92902767920511,0.9049429657794676,1409.0,baseline,False,3,1
sentiment,tfidf_word_svm,teencode_light,neutral,0.4247787610619469,0.2874251497005988,0.3428571428571428,167.0,baseline,False,3,1
sentiment,tfidf_word_svm,teencode_light,positive,0.9222434671765456,0.910062893081761,0.9161126938904716,1590.0,baseline,False,3,1
sentiment,tfidf_word_svm,teencode_light,accuracy,,,0.8856601389766267,,baseline,True,3,1
sentiment,tfidf_word_svm,teencode_light,macro avg,0.7430325666455353,0.7088385739958233,0.7213042675090274,3166.0,baseline,True,3,1
sentiment,tfidf_word_svm,teencode_light,weighted avg,0.8781268179187284,0.8856601389766267,0.8809036528509989,3166.0,baseline,True,3,1
sentiment,tfidf_char_svm,teencode_light,negative,0.8818565400843882,0.8899929027679205,0.8859060402684564,1409.0,baseline,False,3,2
sentiment,tfidf_char_svm,teencode_light,neutral,0.3756345177664975,0.4431137724550898,0.4065934065934066,167.0,baseline,False,3,2
sentiment,tfidf_char_svm,teencode_light,positive,0.92049127343245,0.8955974842767296,0.9078737647433854,1590.0,baseline,False,3,2
sentiment,tfidf_char_svm,teencode_light,accuracy,,,0.8692356285533797,,baseline,True,3,2
sentiment,tfidf_char_svm,teencode_light,macro avg,0.7259941104277785,0.7429013864999133,0.7334577372017494,3166.0,baseline,True,3,2
sentiment,tfidf_char_svm,teencode_light,weighted avg,0.8745571554654148,0.8692356285533797,0.87165571559739,3166.0,baseline,True,3,2
sentiment,phobert,teencode_light,negative,0.9426751592356688,0.9453513129879348,0.9440113394755492,1409.0,phobert,False,3,3
sentiment,phobert,teencode_light,neutral,0.5918367346938775,0.5209580838323353,0.554140127388535,167.0,phobert,False,3,3
sentiment,phobert,teencode_light,positive,0.9396014943960148,0.9490566037735848,0.9443053817271588,1590.0,phobert,False,3,3
sentiment,phobert,teencode_light,accuracy,,,0.9248262792166771,,phobert,True,3,3
sentiment,phobert,teencode_light,macro avg,0.824704462775187,0.8051220001979517,0.8141522828637479,3166.0,phobert,True,3,3
sentiment,phobert,teencode_light,weighted avg,0.9226255243672136,0.9248262792166771,0.923594104719241,3166.0,phobert,True,3,3
sentiment,majority,mixed_light,negative,0.0,0.0,0.0,1409.0,baseline,False,4,0
sentiment,majority,mixed_light,neutral,0.0,0.0,0.0,167.0,baseline,False,4,0
sentiment,majority,mixed_light,positive,0.5022109917877448,1.0,0.6686291000841043,1590.0,baseline,False,4,0
sentiment,majority,mixed_light,accuracy,,,0.5022109917877448,,baseline,True,4,0
sentiment,majority,mixed_light,macro avg,0.1674036639292482,0.3333333333333333,0.2228763666947014,3166.0,baseline,True,4,0
sentiment,majority,mixed_light,weighted avg,0.2522158802724302,0.5022109917877448,0.3357928834913852,3166.0,baseline,True,4,0
sentiment,tfidf_word_svm,mixed_light,negative,0.8803245436105477,0.9240596167494676,0.901662049861496,1409.0,baseline,False,4,1
sentiment,tfidf_word_svm,mixed_light,neutral,0.4272727272727272,0.281437125748503,0.3393501805054151,167.0,baseline,False,4,1
sentiment,tfidf_word_svm,mixed_light,positive,0.9150285351934052,0.9075471698113208,0.9112724976318284,1590.0,baseline,False,4,1
sentiment,tfidf_word_svm,mixed_light,accuracy,,,0.8818698673404928,,baseline,True,4,1
sentiment,tfidf_word_svm,mixed_light,macro avg,0.7408752686922266,0.7043479707697639,0.7174282426662465,3166.0,baseline,True,4,1
sentiment,tfidf_word_svm,mixed_light,weighted avg,0.8738557164748331,0.8818698673404928,0.8768277257213706,3166.0,baseline,True,4,1
sentiment,tfidf_char_svm,mixed_light,negative,0.8834399431414357,0.8821859474804826,0.8828125,1409.0,baseline,False,4,2
sentiment,tfidf_char_svm,mixed_light,neutral,0.3512195121951219,0.4311377245508982,0.3870967741935484,167.0,baseline,False,4,2
sentiment,tfidf_char_svm,mixed_light,positive,0.915057915057915,0.8943396226415095,0.9045801526717556,1590.0,baseline,False,4,2
sentiment,tfidf_char_svm,mixed_light,accuracy,,,0.8644977890082123,,baseline,True,4,2
sentiment,tfidf_char_svm,mixed_light,macro avg,0.7165724567981574,0.7358877648909634,0.7248298089551014,3166.0,baseline,True,4,2
sentiment,tfidf_char_svm,mixed_light,weighted avg,0.8712453011260116,0.8644977890082123,0.8675964676368965,3166.0,baseline,True,4,2
sentiment,phobert,mixed_light,negative,0.9403832505322924,0.9403832505322924,0.9403832505322924,1409.0,phobert,False,4,3
sentiment,phobert,mixed_light,neutral,0.5986394557823129,0.5269461077844312,0.5605095541401274,167.0,phobert,False,4,3
sentiment,phobert,mixed_light,positive,0.9347826086956522,0.9465408805031448,0.940625,1590.0,phobert,False,4,3
sentiment,phobert,mixed_light,accuracy,,,0.9216677195198988,,phobert,True,4,3
sentiment,phobert,mixed_light,macro avg,0.8246017716700859,0.8046234129399562,0.8138392682241399,3166.0,phobert,True,4,3
sentiment,phobert,mixed_light,weighted avg,0.9195442630896188,0.9216677195198988,0.920467102192483,3166.0,phobert,True,4,3
sentiment,majority,no_accent,negative,0.0,0.0,0.0,1409.0,baseline,False,5,0
sentiment,majority,no_accent,neutral,0.0,0.0,0.0,167.0,baseline,False,5,0
sentiment,majority,no_accent,positive,0.5022109917877448,1.0,0.6686291000841043,1590.0,baseline,False,5,0
sentiment,majority,no_accent,accuracy,,,0.5022109917877448,,baseline,True,5,0
sentiment,majority,no_accent,macro avg,0.1674036639292482,0.3333333333333333,0.2228763666947014,3166.0,baseline,True,5,0
sentiment,majority,no_accent,weighted avg,0.2522158802724302,0.5022109917877448,0.3357928834913852,3166.0,baseline,True,5,0
sentiment,tfidf_word_svm,no_accent,negative,0.5135730007336757,0.49680624556423,0.5050505050505051,1409.0,baseline,False,5,1
sentiment,tfidf_word_svm,no_accent,neutral,0.0844277673545966,0.5389221556886228,0.145985401459854,167.0,baseline,False,5,1
sentiment,tfidf_word_svm,no_accent,positive,0.6757123473541384,0.3132075471698113,0.4280189084658358,1590.0,baseline,False,5,1
sentiment,tfidf_word_svm,no_accent,accuracy,,,0.4068224889450411,,baseline,True,5,1
sentiment,tfidf_word_svm,no_accent,macro avg,0.4245710384808036,0.449645316140888,0.3596849383253983,3166.0,baseline,True,5,1
sentiment,tfidf_word_svm,no_accent,weighted avg,0.5723646328095537,0.4068224889450411,0.4474244434998851,3166.0,baseline,True,5,1
sentiment,tfidf_char_svm,no_accent,negative,0.594925634295713,0.4826117814052519,0.5329153605015674,1409.0,baseline,False,5,2
sentiment,tfidf_char_svm,no_accent,neutral,0.0921465968586387,0.5269461077844312,0.1568627450980392,167.0,baseline,False,5,2
sentiment,tfidf_char_svm,no_accent,positive,0.6872659176029963,0.4616352201257861,0.5522949586155004,1590.0,baseline,False,5,2
sentiment,tfidf_char_svm,no_accent,accuracy,,,0.474415666456096,,baseline,True,5,2
sentiment,tfidf_char_svm,no_accent,macro avg,0.4581127162524493,0.4903977031051565,0.414024354738369,3166.0,baseline,True,5,2
sentiment,tfidf_char_svm,no_accent,weighted avg,0.614779377570062,0.474415666456096,0.5228120042882902,3166.0,baseline,True,5,2
sentiment,phobert,no_accent,negative,0.5551470588235294,0.2143364088005677,0.3092677931387609,1409.0,phobert,False,5,3
sentiment,phobert,no_accent,neutral,0.0801855533465871,0.7245508982035929,0.1443914081145584,167.0,phobert,False,5,3
sentiment,phobert,no_accent,positive,0.6873315363881402,0.4811320754716981,0.5660377358490566,1590.0,phobert,False,5,3
sentiment,phobert,no_accent,accuracy,,,0.3752368919772583,,phobert,True,5,3
sentiment,phobert,no_accent,macro avg,0.4408880495194189,0.4733397941586196,0.3398989790341253,3166.0,phobert,True,5,3
sentiment,phobert,no_accent,weighted avg,0.5964783121125634,0.3752368919772583,0.4295235899202922,3166.0,phobert,True,5,3
sentiment,majority,mixed_no_accent,negative,0.0,0.0,0.0,1409.0,baseline,False,6,0
sentiment,majority,mixed_no_accent,neutral,0.0,0.0,0.0,167.0,baseline,False,6,0
sentiment,majority,mixed_no_accent,positive,0.5022109917877448,1.0,0.6686291000841043,1590.0,baseline,False,6,0
sentiment,majority,mixed_no_accent,accuracy,,,0.5022109917877448,,baseline,True,6,0
sentiment,majority,mixed_no_accent,macro avg,0.1674036639292482,0.3333333333333333,0.2228763666947014,3166.0,baseline,True,6,0
sentiment,majority,mixed_no_accent,weighted avg,0.2522158802724302,0.5022109917877448,0.3357928834913852,3166.0,baseline,True,6,0
sentiment,tfidf_word_svm,mixed_no_accent,negative,0.5085629188384214,0.4847409510290986,0.4963662790697674,1409.0,baseline,False,6,1
sentiment,tfidf_word_svm,mixed_no_accent,neutral,0.0860018298261665,0.562874251497006,0.1492063492063492,167.0,baseline,False,6,1
sentiment,tfidf_word_svm,mixed_no_accent,positive,0.6767123287671233,0.310691823899371,0.4258620689655172,1590.0,baseline,False,6,1
sentiment,tfidf_word_svm,mixed_no_accent,accuracy,,,0.401452937460518,,baseline,True,6,1
sentiment,tfidf_word_svm,mixed_no_accent,macro avg,0.4237590258105704,0.4527690088084919,0.3571448990805446,3166.0,baseline,True,6,1
sentiment,tfidf_word_svm,mixed_no_accent,weighted avg,0.5707201708667188,0.401452937460518,0.4426463162292909,3166.0,baseline,True,6,1
sentiment,tfidf_char_svm,mixed_no_accent,negative,0.5956482320942883,0.4662881476224272,0.5230891719745223,1409.0,baseline,False,6,2
sentiment,tfidf_char_svm,mixed_no_accent,neutral,0.0904471544715447,0.5329341317365269,0.154648132059079,167.0,baseline,False,6,2
sentiment,tfidf_char_svm,mixed_no_accent,positive,0.6867469879518072,0.4660377358490566,0.5552641438741102,1590.0,baseline,False,6,2
sentiment,tfidf_char_svm,mixed_no_accent,accuracy,,,0.4696778269109286,,baseline,True,6,2
sentiment,tfidf_char_svm,mixed_no_accent,macro avg,0.4576141248392134,0.4884200050693369,0.4110004826359039,3166.0,baseline,True,6,2
sentiment,tfidf_char_svm,mixed_no_accent,weighted avg,0.6147507089895684,0.4696778269109286,0.5198132881003801,3166.0,baseline,True,6,2
sentiment,phobert,mixed_no_accent,negative,0.5651408450704225,0.2278211497515968,0.3247344461305007,1409.0,phobert,False,6,3
sentiment,phobert,mixed_no_accent,neutral,0.0786736020806241,0.7245508982035929,0.1419354838709677,167.0,phobert,False,6,3
sentiment,phobert,mixed_no_accent,positive,0.6933962264150944,0.4622641509433962,0.5547169811320755,1590.0,phobert,False,6,3
sentiment,phobert,mixed_no_accent,accuracy,,,0.3717624763108023,,phobert,True,6,3
sentiment,phobert,mixed_no_accent,macro avg,0.4457368911887137,0.4715453996328619,0.3404623037111813,3166.0,phobert,True,6,3
sentiment,phobert,mixed_no_accent,weighted avg,0.6038919590182216,0.3717624763108023,0.4305919331662435,3166.0,phobert,True,6,3
topic,majority,clean,facility,0.0,0.0,0.0,145.0,baseline,False,0,0
topic,majority,clean,lecturer,0.7233101705622236,1.0,0.8394428152492669,2290.0,baseline,False,0,0
topic,majority,clean,others,0.0,0.0,0.0,159.0,baseline,False,0,0
topic,majority,clean,training_program,0.0,0.0,0.0,572.0,baseline,False,0,0
topic,majority,clean,accuracy,,,0.7233101705622236,,baseline,True,0,0
topic,majority,clean,macro avg,0.1808275426405559,0.25,0.2098607038123167,3166.0,baseline,True,0,0
topic,majority,clean,weighted avg,0.523177602838753,0.7233101705622236,0.6071775258751805,3166.0,baseline,True,0,0
topic,tfidf_word_svm,clean,facility,0.9054054054054054,0.9241379310344828,0.9146757679180888,145.0,baseline,False,0,1
topic,tfidf_word_svm,clean,lecturer,0.934322986954566,0.9069868995633188,0.92045202747618,2290.0,baseline,False,0,1
topic,tfidf_word_svm,clean,others,0.4788732394366197,0.4276729559748428,0.4518272425249169,159.0,baseline,False,0,1
topic,tfidf_word_svm,clean,training_program,0.6722817764165391,0.7674825174825175,0.7167346938775511,572.0,baseline,False,0,1
topic,tfidf_word_svm,clean,accuracy,,,0.8584965255843335,,baseline,True,0,1
