task,system,variant,label,precision,recall,f1_score,support,variant_order
sentiment,oracle_router,clean,accuracy,,,0.931459,3166,0
sentiment,oracle_router,clean,macro avg,0.838886,0.809982,0.822815,3166,0
sentiment,oracle_router,clean,negative,0.943357,0.957417,0.950335,1409,0
sentiment,oracle_router,clean,neutral,0.625899,0.520958,0.568627,167,0
sentiment,oracle_router,clean,positive,0.947401,0.951572,0.949482,1590,0
sentiment,oracle_router,clean,weighted avg,0.928643,0.931459,0.929772,3166,0
sentiment,oracle_router,typo_light,accuracy,,,0.929248,3166,1
sentiment,oracle_router,typo_light,macro avg,0.837781,0.806675,0.820352,3166,1
sentiment,oracle_router,typo_light,negative,0.9413,0.955997,0.948592,1409,1
sentiment,oracle_router,typo_light,neutral,0.627737,0.51497,0.565789,167,1
sentiment,oracle_router,typo_light,positive,0.944305,0.949057,0.946675,1590,1
sentiment,oracle_router,typo_light,weighted avg,0.926269,0.929248,0.927437,3166,1
sentiment,oracle_router,typo_medium,accuracy,,,0.927353,3166,2
sentiment,oracle_router,typo_medium,macro avg,0.830706,0.808828,0.818815,3166,2
sentiment,oracle_router,typo_medium,negative,0.940393,0.951739,0.946032,1409,2
sentiment,oracle_router,typo_medium,neutral,0.606897,0.526946,0.564103,167,2
sentiment,oracle_router,typo_medium,positive,0.944828,0.947799,0.946311,1590,2
sentiment,oracle_router,typo_medium,weighted avg,0.925029,0.927353,0.926026,3166,2
sentiment,oracle_router,teencode_light,accuracy,,,0.924826,3166,3
sentiment,oracle_router,teencode_light,macro avg,0.824704,0.805122,0.814152,3166,3
sentiment,oracle_router,teencode_light,negative,0.942675,0.945351,0.944011,1409,3
sentiment,oracle_router,teencode_light,neutral,0.591837,0.520958,0.55414,167,3
sentiment,oracle_router,teencode_light,positive,0.939601,0.949057,0.944305,1590,3
sentiment,oracle_router,teencode_light,weighted avg,0.922626,0.924826,0.923594,3166,3
sentiment,oracle_router,mixed_light,accuracy,,,0.921668,3166,4
sentiment,oracle_router,mixed_light,macro avg,0.824602,0.804623,0.813839,3166,4
sentiment,oracle_router,mixed_light,negative,0.940383,0.940383,0.940383,1409,4
sentiment,oracle_router,mixed_light,neutral,0.598639,0.526946,0.56051,167,4
sentiment,oracle_router,mixed_light,positive,0.934783,0.946541,0.940625,1590,4
sentiment,oracle_router,mixed_light,weighted avg,0.919544,0.921668,0.920467,3166,4
sentiment,oracle_router,no_accent,accuracy,,,0.474416,3166,5
sentiment,oracle_router,no_accent,macro avg,0.458113,0.490398,0.414024,3166,5
sentiment,oracle_router,no_accent,negative,0.594926,0.482612,0.532915,1409,5
sentiment,oracle_router,no_accent,neutral,0.092147,0.526946,0.156863,167,5
sentiment,oracle_router,no_accent,positive,0.687266,0.461635,0.552295,1590,5
sentiment,oracle_router,no_accent,weighted avg,0.614779,0.474416,0.522812,3166,5
sentiment,oracle_router,mixed_no_accent,accuracy,,,0.469678,3166,6
sentiment,oracle_router,mixed_no_accent,macro avg,0.457614,0.48842,0.411,3166,6
sentiment,oracle_router,mixed_no_accent,negative,0.595648,0.466288,0.523089,1409,6
sentiment,oracle_router,mixed_no_accent,neutral,0.090447,0.532934,0.154648,167,6
sentiment,oracle_router,mixed_no_accent,positive,0.686747,0.466038,0.555264,1590,6
sentiment,oracle_router,mixed_no_accent,weighted avg,0.614751,0.469678,0.519813,3166,6
sentiment,phobert_only,clean,accuracy,,,0.931459,3166,0
sentiment,phobert_only,clean,macro avg,0.838886,0.809982,0.822815,3166,0
sentiment,phobert_only,clean,negative,0.943357,0.957417,0.950335,1409,0
sentiment,phobert_only,clean,neutral,0.625899,0.520958,0.568627,167,0
sentiment,phobert_only,clean,positive,0.947401,0.951572,0.949482,1590,0
sentiment,phobert_only,clean,weighted avg,0.928643,0.931459,0.929772,3166,0
sentiment,phobert_only,typo_light,accuracy,,,0.929248,3166,1
sentiment,phobert_only,typo_light,macro avg,0.837781,0.806675,0.820352,3166,1
sentiment,phobert_only,typo_light,negative,0.9413,0.955997,0.948592,1409,1
sentiment,phobert_only,typo_light,neutral,0.627737,0.51497,0.565789,167,1
sentiment,phobert_only,typo_light,positive,0.944305,0.949057,0.946675,1590,1
sentiment,phobert_only,typo_light,weighted avg,0.926269,0.929248,0.927437,3166,1
sentiment,phobert_only,typo_medium,accuracy,,,0.927353,3166,2
sentiment,phobert_only,typo_medium,macro avg,0.830706,0.808828,0.818815,3166,2
sentiment,phobert_only,typo_medium,negative,0.940393,0.951739,0.946032,1409,2
sentiment,phobert_only,typo_medium,neutral,0.606897,0.526946,0.564103,167,2
sentiment,phobert_only,typo_medium,positive,0.944828,0.947799,0.946311,1590,2
sentiment,phobert_only,typo_medium,weighted avg,0.925029,0.927353,0.926026,3166,2
sentiment,phobert_only,teencode_light,accuracy,,,0.924826,3166,3
sentiment,phobert_only,teencode_light,macro avg,0.824704,0.805122,0.814152,3166,3
sentiment,phobert_only,teencode_light,negative,0.942675,0.945351,0.944011,1409,3
sentiment,phobert_only,teencode_light,neutral,0.591837,0.520958,0.55414,167,3
sentiment,phobert_only,teencode_light,positive,0.939601,0.949057,0.944305,1590,3
sentiment,phobert_only,teencode_light,weighted avg,0.922626,0.924826,0.923594,3166,3
sentiment,phobert_only,mixed_light,accuracy,,,0.921668,3166,4
sentiment,phobert_only,mixed_light,macro avg,0.824602,0.804623,0.813839,3166,4
sentiment,phobert_only,mixed_light,negative,0.940383,0.940383,0.940383,1409,4
sentiment,phobert_only,mixed_light,neutral,0.598639,0.526946,0.56051,167,4
sentiment,phobert_only,mixed_light,positive,0.934783,0.946541,0.940625,1590,4
sentiment,phobert_only,mixed_light,weighted avg,0.919544,0.921668,0.920467,3166,4
sentiment,phobert_only,no_accent,accuracy,,,0.375237,3166,5
sentiment,phobert_only,no_accent,macro avg,0.440888,0.47334,0.339899,3166,5
sentiment,phobert_only,no_accent,negative,0.555147,0.214336,0.309268,1409,5
sentiment,phobert_only,no_accent,neutral,0.080186,0.724551,0.144391,167,5
sentiment,phobert_only,no_accent,positive,0.687332,0.481132,0.566038,1590,5
sentiment,phobert_only,no_accent,weighted avg,0.596478,0.375237,0.429524,3166,5
sentiment,phobert_only,mixed_no_accent,accuracy,,,0.371762,3166,6
sentiment,phobert_only,mixed_no_accent,macro avg,0.445737,0.471545,0.340462,3166,6
sentiment,phobert_only,mixed_no_accent,negative,0.565141,0.227821,0.324734,1409,6
sentiment,phobert_only,mixed_no_accent,neutral,0.078674,0.724551,0.141935,167,6
sentiment,phobert_only,mixed_no_accent,positive,0.693396,0.462264,0.554717,1590,6
sentiment,phobert_only,mixed_no_accent,weighted avg,0.603892,0.371762,0.430592,3166,6
sentiment,robust_router,clean,accuracy,,,0.931459,3166,0
sentiment,robust_router,clean,macro avg,0.838864,0.809982,0.822803,3166,0
sentiment,robust_router,clean,negative,0.942697,0.957417,0.95,1409,0
sentiment,robust_router,clean,neutral,0.625899,0.520958,0.568627,167,0
sentiment,robust_router,clean,positive,0.947995,0.951572,0.94978,1590,0
sentiment,robust_router,clean,weighted avg,0.928647,0.931459,0.929773,3166,0
sentiment,robust_router,typo_light,accuracy,,,0.929248,3166,1
sentiment,robust_router,typo_light,macro avg,0.837759,0.806675,0.82034,3166,1
sentiment,robust_router,typo_light,negative,0.940642,0.955997,0.948258,1409,1
sentiment,robust_router,typo_light,neutral,0.627737,0.51497,0.565789,167,1
sentiment,robust_router,typo_light,positive,0.944897,0.949057,0.946972,1590,1
sentiment,robust_router,typo_light,weighted avg,0.926274,0.929248,0.927438,3166,1
sentiment,robust_router,typo_medium,accuracy,,,0.927669,3166,2
sentiment,robust_router,typo_medium,macro avg,0.833327,0.809038,0.820027,3166,2
sentiment,robust_router,typo_medium,negative,0.939734,0.951739,0.945698,1409,2
sentiment,robust_router,typo_medium,neutral,0.615385,0.526946,0.567742,167,2
sentiment,robust_router,typo_medium,positive,0.944862,0.948428,0.946642,1590,2
sentiment,robust_router,typo_medium,weighted avg,0.925201,0.927669,0.926236,3166,2
sentiment,robust_router,teencode_light,accuracy,,,0.924826,3166,3
sentiment,robust_router,teencode_light,macro avg,0.824677,0.805122,0.814139,3166,3
sentiment,robust_router,teencode_light,negative,0.942008,0.945351,0.943677,1409,3
sentiment,robust_router,teencode_light,neutral,0.591837,0.520958,0.55414,167,3
sentiment,robust_router,teencode_light,positive,0.940187,0.949057,0.944601,1590,3
sentiment,robust_router,teencode_light,weighted avg,0.922623,0.924826,0.923594,3166,3
sentiment,robust_router,mixed_light,accuracy,,,0.921668,3166,4
sentiment,robust_router,mixed_light,macro avg,0.825718,0.804623,0.814312,3166,4
sentiment,robust_router,mixed_light,negative,0.93905,0.940383,0.939716,1409,4
sentiment,robust_router,mixed_light,neutral,0.60274,0.526946,0.5623,167,4
sentiment,robust_router,mixed_light,positive,0.935364,0.946541,0.940919,1590,4
sentiment,robust_router,mixed_light,weighted avg,0.919459,0.921668,0.920412,3166,4
sentiment,robust_router,no_accent,accuracy,,,0.475679,3166,5
sentiment,robust_router,no_accent,macro avg,0.457774,0.491209,0.414838,3166,5
sentiment,robust_router,no_accent,negative,0.596137,0.481902,0.532967,1409,5
sentiment,robust_router,no_accent,neutral,0.092925,0.526946,0.157989,167,5
sentiment,robust_router,no_accent,positive,0.684259,0.46478,0.553558,1590,5
sentiment,robust_router,no_accent,weighted avg,0.61385,0.475679,0.523529,3166,5
sentiment,robust_router,mixed_no_accent,accuracy,,,0.469994,3166,6
sentiment,robust_router,mixed_no_accent,macro avg,0.456365,0.486816,0.410707,3166,6
sentiment,robust_router,mixed_no_accent,negative,0.596364,0.465578,0.522917,1409,6
sentiment,robust_router,mixed_no_accent,neutral,0.090164,0.526946,0.153981,167,6
sentiment,robust_router,mixed_no_accent,positive,0.682569,0.467925,0.555224,1590,6
sentiment,robust_router,mixed_no_accent,weighted avg,0.612956,0.469994,0.519681,3166,6
sentiment,tfidf_char_svm_only,clean,accuracy,,,0.875237,3166,0
sentiment,tfidf_char_svm_only,clean,macro avg,0.73445,0.743985,0.738784,3166,0
sentiment,tfidf_char_svm_only,clean,negative,0.880248,0.907736,0.893781,1409,0
sentiment,tfidf_char_svm_only,clean,neutral,0.395604,0.431138,0.412607,167,0
sentiment,tfidf_char_svm_only,clean,positive,0.927498,0.893082,0.909965,1590,0
sentiment,tfidf_char_svm_only,clean,weighted avg,0.878414,0.875237,0.876528,3166,0
sentiment,tfidf_char_svm_only,typo_light,accuracy,,,0.873342,3166,1
sentiment,tfidf_char_svm_only,typo_light,macro avg,0.726814,0.73726,0.731545,3166,1
sentiment,tfidf_char_svm_only,typo_light,negative,0.881133,0.904897,0.892857,1409,1
sentiment,tfidf_char_svm_only,typo_light,neutral,0.372973,0.413174,0.392045,167,1
sentiment,tfidf_char_svm_only,typo_light,positive,0.926336,0.893711,0.909731,1590,1
sentiment,tfidf_char_svm_only,typo_light,weighted avg,0.87703,0.873342,0.874915,3166,1
sentiment,tfidf_char_svm_only,typo_medium,accuracy,,,0.870499,3166,2
sentiment,tfidf_char_svm_only,typo_medium,macro avg,0.725164,0.738839,0.731212,3166,2
sentiment,tfidf_char_svm_only,typo_medium,negative,0.876552,0.902058,0.889122,1409,2
sentiment,tfidf_char_svm_only,typo_medium,neutral,0.371728,0.42515,0.396648,167,2
sentiment,tfidf_char_svm_only,typo_medium,positive,0.927213,0.889308,0.907865,1590,2
sentiment,tfidf_char_svm_only,typo_medium,weighted avg,0.875366,0.870499,0.872558,3166,2
sentiment,tfidf_char_svm_only,teencode_light,accuracy,,,0.869236,3166,3
sentiment,tfidf_char_svm_only,teencode_light,macro avg,0.725994,0.742901,0.733458,3166,3
sentiment,tfidf_char_svm_only,teencode_light,negative,0.881857,0.889993,0.885906,1409,3
sentiment,tfidf_char_svm_only,teencode_light,neutral,0.375635,0.443114,0.406593,167,3
sentiment,tfidf_char_svm_only,teencode_light,positive,0.920491,0.895597,0.907874,1590,3
sentiment,tfidf_char_svm_only,teencode_light,weighted avg,0.874557,0.869236,0.871656,3166,3
sentiment,tfidf_char_svm_only,mixed_light,accuracy,,,0.864498,3166,4
sentiment,tfidf_char_svm_only,mixed_light,macro avg,0.716572,0.735888,0.72483,3166,4
sentiment,tfidf_char_svm_only,mixed_light,negative,0.88344,0.882186,0.882812,1409,4
sentiment,tfidf_char_svm_only,mixed_light,neutral,0.35122,0.431138,0.387097,167,4
sentiment,tfidf_char_svm_only,mixed_light,positive,0.915058,0.89434,0.90458,1590,4
sentiment,tfidf_char_svm_only,mixed_light,weighted avg,0.871245,0.864498,0.867596,3166,4
sentiment,tfidf_char_svm_only,no_accent,accuracy,,,0.474416,3166,5
sentiment,tfidf_char_svm_only,no_accent,macro avg,0.458113,0.490398,0.414024,3166,5
sentiment,tfidf_char_svm_only,no_accent,negative,0.594926,0.482612,0.532915,1409,5
sentiment,tfidf_char_svm_only,no_accent,neutral,0.092147,0.526946,0.156863,167,5
sentiment,tfidf_char_svm_only,no_accent,positive,0.687266,0.461635,0.552295,1590,5
sentiment,tfidf_char_svm_only,no_accent,weighted avg,0.614779,0.474416,0.522812,3166,5
sentiment,tfidf_char_svm_only,mixed_no_accent,accuracy,,,0.469678,3166,6
sentiment,tfidf_char_svm_only,mixed_no_accent,macro avg,0.457614,0.48842,0.411,3166,6
sentiment,tfidf_char_svm_only,mixed_no_accent,negative,0.595648,0.466288,0.523089,1409,6
sentiment,tfidf_char_svm_only,mixed_no_accent,neutral,0.090447,0.532934,0.154648,167,6
sentiment,tfidf_char_svm_only,mixed_no_accent,positive,0.686747,0.466038,0.555264,1590,6
sentiment,tfidf_char_svm_only,mixed_no_accent,weighted avg,0.614751,0.469678,0.519813,3166,6
topic,oracle_router,clean,accuracy,,,0.896399,3166,0
topic,oracle_router,clean,facility,0.924138,0.924138,0.924138,145,0
topic,oracle_router,clean,lecturer,0.938256,0.948908,0.943552,2290,0
topic,oracle_router,clean,macro avg,0.819375,0.786622,0.800073,3166,0
topic,oracle_router,clean,others,0.638655,0.477987,0.546763,159,0
topic,oracle_router,clean,training_program,0.776451,0.795455,0.785838,572,0
topic,oracle_router,clean,weighted avg,0.89333,0.896399,0.894241,3166,0
topic,oracle_router,typo_light,accuracy,,,0.893557,3166,1
topic,oracle_router,typo_light,facility,0.911565,0.924138,0.917808,145,1
topic,oracle_router,typo_light,lecturer,0.936933,0.947162,0.94202,2290,1
