task,system,variant,label,precision,recall,f1_score,support,variant_order
topic,oracle_router,typo_light,macro avg,0.812117,0.784,0.795476,3166,1
topic,oracle_router,typo_light,others,0.628099,0.477987,0.542857,159,1
topic,oracle_router,typo_light,training_program,0.77187,0.786713,0.779221,572,1
topic,oracle_router,typo_light,weighted avg,0.890439,0.893557,0.891452,3166,1
topic,oracle_router,typo_medium,accuracy,,,0.885344,3166,2
topic,oracle_router,typo_medium,facility,0.922535,0.903448,0.912892,145,2
topic,oracle_router,typo_medium,lecturer,0.936272,0.936681,0.936477,2290,2
topic,oracle_router,typo_medium,macro avg,0.796108,0.778915,0.78659,3166,2
topic,oracle_router,typo_medium,others,0.573529,0.490566,0.528814,159,2
topic,oracle_router,typo_medium,training_program,0.752094,0.784965,0.768178,572,2
topic,oracle_router,typo_medium,weighted avg,0.88415,0.885344,0.884517,3166,2
topic,oracle_router,teencode_light,accuracy,,,0.885028,3166,3
topic,oracle_router,teencode_light,facility,0.93007,0.917241,0.923611,145,3
topic,oracle_router,teencode_light,lecturer,0.935133,0.937991,0.93656,2290,3
topic,oracle_router,teencode_light,macro avg,0.798531,0.775527,0.785276,3166,3
topic,oracle_router,teencode_light,others,0.582677,0.465409,0.517483,159,3
topic,oracle_router,teencode_light,training_program,0.746244,0.781469,0.76345,572,3
topic,oracle_router,teencode_light,weighted avg,0.883074,0.885028,0.883645,3166,3
topic,oracle_router,mixed_light,accuracy,,,0.881238,3166,4
topic,oracle_router,mixed_light,facility,0.909722,0.903448,0.906574,145,4
topic,oracle_router,mixed_light,lecturer,0.931887,0.937991,0.934929,2290,4
topic,oracle_router,mixed_light,macro avg,0.787292,0.768844,0.777107,3166,4
topic,oracle_router,mixed_light,others,0.559701,0.471698,0.511945,159,4
topic,oracle_router,mixed_light,training_program,0.747856,0.762238,0.754978,572,4
topic,oracle_router,mixed_light,weighted avg,0.878932,0.881238,0.879876,3166,4
topic,oracle_router,no_accent,accuracy,,,0.436197,3166,5
topic,oracle_router,no_accent,facility,0.285714,0.151724,0.198198,145,5
topic,oracle_router,no_accent,lecturer,0.77884,0.498253,0.607723,2290,5
topic,oracle_router,no_accent,macro avg,0.348312,0.350866,0.295702,3166,5
topic,oracle_router,no_accent,others,0.075437,0.515723,0.131621,159,5
topic,oracle_router,no_accent,training_program,0.253259,0.237762,0.245266,572,5
topic,oracle_router,no_accent,weighted avg,0.625973,0.436197,0.499572,3166,5
topic,oracle_router,mixed_no_accent,accuracy,,,0.432091,3166,6
topic,oracle_router,mixed_no_accent,facility,0.3,0.165517,0.213333,145,6
topic,oracle_router,mixed_no_accent,lecturer,0.779637,0.48821,0.60043,2290,6
topic,oracle_router,mixed_no_accent,macro avg,0.354265,0.359841,0.300282,3166,6
topic,oracle_router,mixed_no_accent,others,0.077199,0.540881,0.135114,159,6
topic,oracle_router,mixed_no_accent,training_program,0.260223,0.244755,0.252252,572,6
topic,oracle_router,mixed_no_accent,weighted avg,0.628551,0.432091,0.496427,3166,6
topic,phobert_only,clean,accuracy,,,0.896399,3166,0
topic,phobert_only,clean,facility,0.924138,0.924138,0.924138,145,0
topic,phobert_only,clean,lecturer,0.938256,0.948908,0.943552,2290,0
topic,phobert_only,clean,macro avg,0.819375,0.786622,0.800073,3166,0
topic,phobert_only,clean,others,0.638655,0.477987,0.546763,159,0
topic,phobert_only,clean,training_program,0.776451,0.795455,0.785838,572,0
topic,phobert_only,clean,weighted avg,0.89333,0.896399,0.894241,3166,0
topic,phobert_only,typo_light,accuracy,,,0.893557,3166,1
topic,phobert_only,typo_light,facility,0.911565,0.924138,0.917808,145,1
topic,phobert_only,typo_light,lecturer,0.936933,0.947162,0.94202,2290,1
topic,phobert_only,typo_light,macro avg,0.812117,0.784,0.795476,3166,1
topic,phobert_only,typo_light,others,0.628099,0.477987,0.542857,159,1
topic,phobert_only,typo_light,training_program,0.77187,0.786713,0.779221,572,1
topic,phobert_only,typo_light,weighted avg,0.890439,0.893557,0.891452,3166,1
topic,phobert_only,typo_medium,accuracy,,,0.885344,3166,2
topic,phobert_only,typo_medium,facility,0.922535,0.903448,0.912892,145,2
topic,phobert_only,typo_medium,lecturer,0.936272,0.936681,0.936477,2290,2
topic,phobert_only,typo_medium,macro avg,0.796108,0.778915,0.78659,3166,2
topic,phobert_only,typo_medium,others,0.573529,0.490566,0.528814,159,2
topic,phobert_only,typo_medium,training_program,0.752094,0.784965,0.768178,572,2
topic,phobert_only,typo_medium,weighted avg,0.88415,0.885344,0.884517,3166,2
topic,phobert_only,teencode_light,accuracy,,,0.885028,3166,3
topic,phobert_only,teencode_light,facility,0.93007,0.917241,0.923611,145,3
topic,phobert_only,teencode_light,lecturer,0.935133,0.937991,0.93656,2290,3
topic,phobert_only,teencode_light,macro avg,0.798531,0.775527,0.785276,3166,3
topic,phobert_only,teencode_light,others,0.582677,0.465409,0.517483,159,3
topic,phobert_only,teencode_light,training_program,0.746244,0.781469,0.76345,572,3
topic,phobert_only,teencode_light,weighted avg,0.883074,0.885028,0.883645,3166,3
topic,phobert_only,mixed_light,accuracy,,,0.881238,3166,4
topic,phobert_only,mixed_light,facility,0.909722,0.903448,0.906574,145,4
topic,phobert_only,mixed_light,lecturer,0.931887,0.937991,0.934929,2290,4
topic,phobert_only,mixed_light,macro avg,0.787292,0.768844,0.777107,3166,4
topic,phobert_only,mixed_light,others,0.559701,0.471698,0.511945,159,4
topic,phobert_only,mixed_light,training_program,0.747856,0.762238,0.754978,572,4
topic,phobert_only,mixed_light,weighted avg,0.878932,0.881238,0.879876,3166,4
topic,phobert_only,no_accent,accuracy,,,0.252369,3166,5
topic,phobert_only,no_accent,facility,0.288889,0.089655,0.136842,145,5
topic,phobert_only,no_accent,lecturer,0.821333,0.268996,0.405263,2290,5
topic,phobert_only,no_accent,macro avg,0.320659,0.312683,0.1866,3166,5
topic,phobert_only,no_accent,others,0.065272,0.823899,0.12096,159,5
topic,phobert_only,no_accent,training_program,0.107143,0.068182,0.083333,572,5
topic,phobert_only,no_accent,weighted avg,0.629945,0.252369,0.320529,3166,5
topic,phobert_only,mixed_no_accent,accuracy,,,0.244157,3166,6
topic,phobert_only,mixed_no_accent,facility,0.311111,0.096552,0.147368,145,6
topic,phobert_only,mixed_no_accent,lecturer,0.816156,0.255895,0.389628,2290,6
topic,phobert_only,mixed_no_accent,macro avg,0.32741,0.310173,0.187029,3166,6
topic,phobert_only,mixed_no_accent,others,0.063453,0.811321,0.117701,159,6
topic,phobert_only,mixed_no_accent,training_program,0.118919,0.076923,0.093418,572,6
topic,phobert_only,mixed_no_accent,weighted avg,0.629254,0.244157,0.31136,3166,6
topic,robust_router,clean,accuracy,,,0.896083,3166,0
topic,robust_router,clean,facility,0.924138,0.924138,0.924138,145,0
topic,robust_router,clean,lecturer,0.938229,0.948472,0.943322,2290,0
topic,robust_router,clean,macro avg,0.818038,0.786513,0.799525,3166,0
topic,robust_router,clean,others,0.633333,0.477987,0.544803,159,0
topic,robust_router,clean,training_program,0.776451,0.795455,0.785838,572,0
topic,robust_router,clean,weighted avg,0.893043,0.896083,0.893977,3166,0
topic,robust_router,typo_light,accuracy,,,0.892925,3166,1
topic,robust_router,typo_light,facility,0.911565,0.924138,0.917808,145,1
topic,robust_router,typo_light,lecturer,0.936879,0.946288,0.94156,2290,1
topic,robust_router,typo_light,macro avg,0.80955,0.783782,0.794399,3166,1
topic,robust_router,typo_light,others,0.617886,0.477987,0.539007,159,1
topic,robust_router,typo_light,training_program,0.77187,0.786713,0.779221,572,1
topic,robust_router,typo_light,weighted avg,0.889887,0.892925,0.890926,3166,1
topic,robust_router,typo_medium,accuracy,,,0.88566,3166,2
topic,robust_router,typo_medium,facility,0.922535,0.903448,0.912892,145,2
topic,robust_router,typo_medium,lecturer,0.9363,0.937118,0.936709,2290,2
topic,robust_router,typo_medium,macro avg,0.797177,0.779024,0.787098,3166,2
topic,robust_router,typo_medium,others,0.577778,0.490566,0.530612,159,2
topic,robust_router,typo_medium,training_program,0.752094,0.784965,0.768178,572,2
topic,robust_router,typo_medium,weighted avg,0.884384,0.88566,0.884775,3166,2
topic,robust_router,teencode_light,accuracy,,,0.884713,3166,3
topic,robust_router,teencode_light,facility,0.93007,0.917241,0.923611,145,3
topic,robust_router,teencode_light,lecturer,0.935105,0.937555,0.936328,2290,3
topic,robust_router,teencode_light,macro avg,0.797386,0.775418,0.784767,3166,3
topic,robust_router,teencode_light,others,0.578125,0.465409,0.515679,159,3
topic,robust_router,teencode_light,training_program,0.746244,0.781469,0.76345,572,3
topic,robust_router,teencode_light,weighted avg,0.882825,0.884713,0.883386,3166,3
topic,robust_router,mixed_light,accuracy,,,0.880922,3166,4
topic,robust_router,mixed_light,facility,0.909722,0.903448,0.906574,145,4
topic,robust_router,mixed_light,lecturer,0.931887,0.937991,0.934929,2290,4
topic,robust_router,mixed_light,macro avg,0.786147,0.768407,0.776402,3166,4
topic,robust_router,mixed_light,others,0.555556,0.471698,0.510204,159,4
topic,robust_router,mixed_light,training_program,0.747423,0.76049,0.753899,572,4
topic,robust_router,mixed_light,weighted avg,0.878645,0.880922,0.879594,3166,4
topic,robust_router,no_accent,accuracy,,,0.442198,3166,5
topic,robust_router,no_accent,facility,0.278481,0.151724,0.196429,145,5
topic,robust_router,no_accent,lecturer,0.781547,0.503057,0.612115,2290,5
topic,robust_router,no_accent,macro avg,0.349868,0.36351,0.300043,3166,5
topic,robust_router,no_accent,others,0.082407,0.559748,0.143664,159,5
topic,robust_router,no_accent,training_program,0.257036,0.23951,0.247964,572,5
topic,robust_router,no_accent,weighted avg,0.628632,0.442198,0.50376,3166,5
topic,robust_router,mixed_no_accent,accuracy,,,0.437776,3166,6
topic,robust_router,mixed_no_accent,facility,0.292683,0.165517,0.211454,145,6
topic,robust_router,mixed_no_accent,lecturer,0.782398,0.493013,0.604875,2290,6
topic,robust_router,mixed_no_accent,macro avg,0.355454,0.370913,0.304132,3166,6
topic,robust_router,mixed_no_accent,others,0.083183,0.578616,0.145455,159,6
topic,robust_router,mixed_no_accent,training_program,0.263551,0.246503,0.254743,572,6
topic,robust_router,mixed_no_accent,weighted avg,0.631114,0.437776,0.500526,3166,6
topic,tfidf_char_svm_only,clean,accuracy,,,0.833544,3166,0
topic,tfidf_char_svm_only,clean,facility,0.858065,0.917241,0.886667,145,0
topic,tfidf_char_svm_only,clean,lecturer,0.936508,0.875983,0.905235,2290,0
topic,tfidf_char_svm_only,clean,macro avg,0.707016,0.765605,0.732207,3166,0
topic,tfidf_char_svm_only,clean,others,0.399083,0.54717,0.461538,159,0
topic,tfidf_char_svm_only,clean,training_program,0.634409,0.722028,0.675388,572,0
topic,tfidf_char_svm_only,clean,weighted avg,0.851345,0.833544,0.840575,3166,0
topic,tfidf_char_svm_only,typo_light,accuracy,,,0.826911,3166,1
topic,tfidf_char_svm_only,typo_light,facility,0.851613,0.910345,0.88,145,1
topic,tfidf_char_svm_only,typo_light,lecturer,0.934303,0.869432,0.900701,2290,1
topic,tfidf_char_svm_only,typo_light,macro avg,0.697595,0.757788,0.723079,3166,1
topic,tfidf_char_svm_only,typo_light,others,0.379464,0.534591,0.443864,159,1
topic,tfidf_char_svm_only,typo_light,training_program,0.625,0.716783,0.667752,572,1
topic,tfidf_char_svm_only,typo_light,weighted avg,0.84677,0.826911,0.834723,3166,1
topic,tfidf_char_svm_only,typo_medium,accuracy,,,0.825963,3166,2
topic,tfidf_char_svm_only,typo_medium,facility,0.856209,0.903448,0.879195,145,2
topic,tfidf_char_svm_only,typo_medium,lecturer,0.935059,0.867686,0.900113,2290,2
topic,tfidf_char_svm_only,typo_medium,macro avg,0.696582,0.756501,0.721417,3166,2
topic,tfidf_char_svm_only,typo_medium,others,0.367965,0.534591,0.435897,159,2
topic,tfidf_char_svm_only,typo_medium,training_program,0.627093,0.72028,0.670464,572,2
topic,tfidf_char_svm_only,typo_medium,weighted avg,0.847327,0.825963,0.834351,3166,2
topic,tfidf_char_svm_only,teencode_light,accuracy,,,0.822805,3166,3
topic,tfidf_char_svm_only,teencode_light,facility,0.856209,0.903448,0.879195,145,3
topic,tfidf_char_svm_only,teencode_light,lecturer,0.933993,0.865066,0.898209,2290,3
topic,tfidf_char_svm_only,teencode_light,macro avg,0.694285,0.756368,0.719644,3166,3
topic,tfidf_char_svm_only,teencode_light,others,0.367089,0.54717,0.439394,159,3
topic,tfidf_char_svm_only,teencode_light,training_program,0.619847,0.70979,0.661777,572,3
topic,tfidf_char_svm_only,teencode_light,weighted avg,0.845204,0.822805,0.83158,3166,3
topic,tfidf_char_svm_only,mixed_light,accuracy,,,0.821226,3166,4
topic,tfidf_char_svm_only,mixed_light,facility,0.863636,0.917241,0.889632,145,4
topic,tfidf_char_svm_only,mixed_light,lecturer,0.931326,0.864629,0.896739,2290,4
topic,tfidf_char_svm_only,mixed_light,macro avg,0.693128,0.75595,0.718579,3166,4
topic,tfidf_char_svm_only,mixed_light,others,0.353909,0.540881,0.427861,159,4
topic,tfidf_char_svm_only,mixed_light,training_program,0.623639,0.701049,0.660082,572,4
topic,tfidf_char_svm_only,mixed_light,weighted avg,0.843638,0.821226,0.830109,3166,4
topic,tfidf_char_svm_only,no_accent,accuracy,,,0.436197,3166,5
topic,tfidf_char_svm_only,no_accent,facility,0.285714,0.151724,0.198198,145,5
topic,tfidf_char_svm_only,no_accent,lecturer,0.77884,0.498253,0.607723,2290,5
topic,tfidf_char_svm_only,no_accent,macro avg,0.348312,0.350866,0.295702,3166,5
topic,tfidf_char_svm_only,no_accent,others,0.075437,0.515723,0.131621,159,5
topic,tfidf_char_svm_only,no_accent,training_program,0.253259,0.237762,0.245266,572,5
topic,tfidf_char_svm_only,no_accent,weighted avg,0.625973,0.436197,0.499572,3166,5
topic,tfidf_char_svm_only,mixed_no_accent,accuracy,,,0.432091,3166,6
topic,tfidf_char_svm_only,mixed_no_accent,facility,0.3,0.165517,0.213333,145,6
topic,tfidf_char_svm_only,mixed_no_accent,lecturer,0.779637,0.48821,0.60043,2290,6
topic,tfidf_char_svm_only,mixed_no_accent,macro avg,0.354265,0.359841,0.300282,3166,6
topic,tfidf_char_svm_only,mixed_no_accent,others,0.077199,0.540881,0.135114,159,6
topic,tfidf_char_svm_only,mixed_no_accent,training_program,0.260223,0.244755,0.252252,572,6
topic,tfidf_char_svm_only,mixed_no_accent,weighted avg,0.628551,0.432091,0.496427,3166,6
